id,event_id,division,distance_m,rank,bib,skater_name,best_time_text,best_time_seconds,page_number,affiliation,club_id,skater_id
,128,Novice A,333,7,149,Jaxon Brogan,0:49.180,49.18,,,,335
,128,Novice A,333,8,189,Zoly Milstein,0:52.040,52.04,,,,1439
,128,Novice A,333,9,142,James Abramovich,0:53.760,53.76,,,,592
,128,Novice A,333,10,139,Charlotte Streefkerk,1:08.860,68.86,,,,1050
,128,Novice B,222,1,162,Charles Han,0:32.120,32.12,,,,1549
,128,Novice B,222,2,117,Zoey Hoffman,0:32.660,32.66,,,,1664
,128,Novice B,222,3,163,Alan Han,0:32.940,32.94,,,,1548
,128,Novice B,222,4,177,Ethan Lee,0:33.270,33.27,,,,219
,128,Novice B,222,5,159,Sam Firer,0:33.990,33.99,,,,1675
,128,Novice B,222,6,201,Luca Sakhnovskiy,0:34.290,34.29,,,,283
,128,Novice B,222,7,105,Penelope Cattell,0:35.920,35.92,,,,474
,128,Novice B,222,8,104,Ada Cao,0:36.420,36.42,,,,331
,128,Novice B,222,9,166,Eason He,0:38.160,38.16,,,,410
,128,Novice B,222,10,140,Rosaline Wang,0:43.310,43.31,,,,1674
,128,Novice B,222,11,127,Chuyi Liao,0:43.740,43.74,,,,1673
,128,Novice B,111,1,163,Alan Han,0:16.510,16.51,,,,1548
,128,Novice B,111,2,159,Sam Firer,0:16.940,16.94,,,,1675
,128,Novice B,111,3,177,Ethan Lee,0:17.350,17.35,,,,219
,128,Novice B,111,4,117,Zoey Hoffman,0:17.360,17.36,,,,1664
,128,Novice B,111,5,162,Charles Han,0:17.480,17.48,,,,1549
,128,Novice B,111,6,201,Luca Sakhnovskiy,0:18.250,18.25,,,,283
