raw_value,count,type,canonical,country,notes
TPE 1:20.979,1,country,TPE,TPE,rescued
OSSC 1:17.498,1,club,Oval Speed Skating Club,US,rescued
SGP 2:55.333,1,country,SGP,SGP,rescued
CZE 2:37.216,1,country,CZE,CZE,rescued
SGP 2:42.036,1,country,SGP,SGP,rescued
TPE 2:35.807,1,country,TPE,TPE,rescued
CHE 2:44.982,1,country,CHE,CHE,rescued
GBR 2:46.668,1,country,GBR,GBR,rescued
INA 2:46.979,1,country,INA,INA,rescued
TPE 2:47.477,1,country,TPE,TPE,rescued
"BC,CAN 2:47.921",1,country,CAN,CAN,rescued
GBR 2:32.234,1,country,GBR,GBR,rescued
CZE 2:32.989,1,country,CZE,CZE,rescued
GBR 2:36.503,1,country,GBR,GBR,rescued
GBR 2:14.301,1,country,GBR,GBR,rescued
GBR 2:15.792,1,country,GBR,GBR,rescued
CZE 2:17.819,1,country,CZE,CZE,rescued
GBR 2:17.980,1,country,GBR,GBR,rescued
TPE 2:44.258,1,country,TPE,TPE,rescued
TPE 2:38.600,1,country,TPE,TPE,rescued
"BC,CAN 2:34.428",1,country,CAN,CAN,rescued
AUS 2:38.973,1,country,AUS,AUS,rescued
TPE 2:24.680,1,country,TPE,TPE,rescued
TPE 2:38.006,1,country,TPE,TPE,rescued
TPE 2:41.114,1,country,TPE,TPE,rescued
SGP 2:41.215,1,country,SGP,SGP,rescued
GBR 2:33.097,1,country,GBR,GBR,rescued
Elmbrook 0:42.850,1,club,Elmbrook Speedskating Club,US,rescued
Mixed 4:02.750,1,junk,,,time leaked; prefix='Mixed'
Mixed 4:03.450,1,junk,,,time leaked; prefix='Mixed'
Mixed 4:16.260,1,junk,,,time leaked; prefix='Mixed'
Mixed 5:08.860,1,junk,,,time leaked; prefix='Mixed'
Mixed 5:20.750,1,junk,,,time leaked; prefix='Mixed'
Mixed 3:34.360,1,junk,,,time leaked; prefix='Mixed'
Mixed 3:55.470,1,junk,,,time leaked; prefix='Mixed'
Mixed 3:58.420,1,junk,,,time leaked; prefix='Mixed'
Mixed 2:13.400,1,junk,,,time leaked; prefix='Mixed'
Mixed 2:15.980,1,junk,,,time leaked; prefix='Mixed'
Mixed 2:26.980,1,junk,,,time leaked; prefix='Mixed'
Mixed 3:37.100,1,junk,,,time leaked; prefix='Mixed'
Mixed 3:41.600,1,junk,,,time leaked; prefix='Mixed'
Mixed 3:48.860,1,junk,,,time leaked; prefix='Mixed'
Columbus 2:29.630,1,club,Columbus Speedskating Club,US,rescued
Columbus 1:00.510,1,club,Columbus Speedskating Club,US,rescued
Lakewood 1:03.070,1,club,Lakewood Speedskating,US,rescued
Columbus 1:18.230,1,club,Columbus Speedskating Club,US,rescued
Columbus 0:54.770,1,club,Columbus Speedskating Club,US,rescued
Cleveland Heights 1:10.580,1,club,Cleveland Heights Speedskating Club,US,rescued
Columbus 1:10.760,1,club,Columbus Speedskating Club,US,rescued
108.00,1,junk,,,time leaked; prefix='108.00'
640.00,1,junk,,,time leaked; prefix='640.00'
A1,1,junk,,,junk token
A2,1,junk,,,junk token
DNF,1,junk,,,junk token
DNS,1,junk,,,junk token
